;VALOR;COL
;56;5
;56;6
;56;7
;56;8
;56;9
;56;10
;56;11
;56;12
;56;13
;56;14
;56;15
;56;16
;56;17
;56;18
;56;19
;56;20
;56;21
;56;22
;56;23
;56;24
;56;25
;56;26
;56;27
;56;28
;56;29
;56;30
;56;31
;56;32
;56;33
;56;34
;56;35
;56;36
;108;37
;56;39
;56;41
;56;43
;56;47
;56;52
;56;53
;56;54
;56;55
;56;56
;56;57
;56;58
;56;59
;56;60
;56;61
;58;27
;59;28
;58;29
;58;30
;58;31
;58;32
;58;33
;58;34
;58;35
;58;36
;54;49
;58;27
;59;28
;58;29
;58;30
;58;31
;58;32
;58;33
;58;34
;58;35
;58;36
;54;49
;73;1
;73;2
;73;3
;73;4
;73;5
;73;6
;73;7
;73;8
;73;9
;73;10
;73;11
;73;12
;73;13
;73;14
;73;15
;73;16
;73;17
;73;18
;73;19
;73;20
;73;21
;73;22
;73;23
;73;24
;73;25
;73;26
;73;27
;73;28
;73;29
;73;30
;73;31
;73;32
;73;33
;73;34
;73;35
;73;36
;109;54
;73;1
;73;2
;73;3
;73;4
;73;5
;73;6
;73;7
;73;8
;73;9
;73;10
;73;11
;73;12
;73;13
;73;14
;73;15
;73;16
;73;17
;73;18
;73;19
;73;20
;73;21
;73;22
;73;23
;73;24
;73;25
;73;26
;73;27
;73;28
;73;29
;73;30
;73;31
;73;32
;73;33
;73;34
;73;35
;73;36
;109;54
;110;54
;111;61
;111;61
;112;54
;111;61
;81;1
;81;2
;81;3
;81;4
;81;5
;81;6
;81;7
;81;8
;81;9
;81;10
;81;11
;81;12
;81;13
;81;14
;81;15
;81;16
;81;17
;81;18
;81;19
;81;20
;81;21
;81;22
;81;23
;81;24
;81;25
;81;26
;81;27
;81;28
;81;29
;81;30
;81;31
;81;32
;81;33
;81;34
;81;35
;81;36
;81;37
;81;38
;81;39
;81;40
;81;41
;81;43
;81;44
;81;45
;81;46
;81;47
;81;48
;81;49
;81;50
;81;51
;81;52
;81;53
;81;54
;81;55
;81;56
;81;57
;81;58
;81;59
;81;60
;81;61
;113;62
;114;54
;115;54
;116;54
;117;12
;118;1
;119;18
;120;20
;121;12
;122;19
;123;54
;124;54
;125;18
;126;5
;127;14
;128;14
;129;12
;130;9
;131;5
;132;9
;133;12
;106;27
;107;28
;106;29
;106;30
;106;31
;106;32
;106;33
;106;34
;106;35
;106;36
;134;54
;106;27
;107;28
;106;29
;106;30
;106;31
;106;32
;106;33
;106;34
;106;35
;106;36
;134;54
;135;54
;136;54
;137;62
;138;54
;139;11
;140;54
;141;9
;142;1
;143;5
;144;5
;145;7
;146;54
;147;20
;148;54
;149;14
;150;54
;151;12
;152;5
;153;54
;154;54
;155;14
;156;18
;157;54
;158;13
;159;5
;160;54
;161;7
;162;54
;163;54
;164;21
;165;5
;166;5
;167;18
;168;54
;169;5
;170;54
;171;14
;172;54
;173;54
;174;20
;175;54
